participant_id,file,T1,T2,T3,T4,T5,T6,T7,tasks_completed
P01,Copy_of_aai4science_2025_Huat.ipynb,1,1,1,1,1,1,1,7
P02,Yana_Propad_aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P03,aai4sci_akintola_kehinde.ipynb,1,1,0,0,0,0,0,2
P04,aai4science_2025_kc (1).ipynb,1,1,1,1,1,1,1,7
P05,aai4science_2025_kc (10).ipynb,1,1,1,1,1,1,1,7
P06,aai4science_2025_kc (11).ipynb,1,1,1,1,1,1,1,7
P07,aai4science_2025_kc (12).ipynb,1,1,1,1,1,1,1,7
P08,aai4science_2025_kc (13).ipynb,1,1,1,1,1,1,1,7
P09,aai4science_2025_kc (14).ipynb,1,1,1,1,1,1,1,7
P10,aai4science_2025_kc (15).ipynb,1,1,1,1,1,1,1,7
P11,aai4science_2025_kc (16).ipynb,1,1,1,1,1,1,1,7
P12,aai4science_2025_kc (17).ipynb,1,1,1,1,1,1,1,7
P13,aai4science_2025_kc (18).ipynb,1,1,1,1,1,1,1,7
P14,aai4science_2025_kc (19).ipynb,1,1,1,1,1,1,1,7
P15,aai4science_2025_kc (2).ipynb,1,1,1,1,1,1,1,7
P16,aai4science_2025_kc (3).ipynb,1,1,1,1,1,1,1,7
P17,aai4science_2025_kc (4).ipynb,1,1,1,1,1,1,1,7
P18,aai4science_2025_kc (5).ipynb,1,1,1,1,1,1,1,7
P19,aai4science_2025_kc (6).ipynb,1,1,1,1,1,1,1,7
P20,aai4science_2025_kc (7).ipynb,1,1,1,1,1,1,1,7
P21,aai4science_2025_kc (8).ipynb,1,1,1,1,1,1,1,7
P22,aai4science_2025_kc (9).ipynb,1,1,1,1,1,1,1,7
P23,aai4science_2025_kc(18).ipynb,1,1,1,1,1,1,1,7
P24,aai4science_2025_kc(19).ipynb,1,1,1,1,1,1,1,7
P25,aai4science_2025_kc(20).ipynb,1,1,1,1,1,1,1,7
P26,aai4science_2025_kc(22).ipynb,1,1,1,1,1,1,1,7
P27,aai4science_2025_kc(23).ipynb,1,1,1,1,1,1,1,7
P28,aai4science_2025_kc(24).ipynb,1,1,1,1,1,1,1,7
P29,aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P30,aai4science_2025_kc_1.ipynb,1,1,1,1,1,1,1,7
P31,aai4science_2025_solution_Habibur_Rahman.ipynb,1,1,1,1,1,1,1,7
P32,ai_hackathon.ipynb,1,1,1,1,1,1,1,7
P33,copia_de_aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P34,copy-of-aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P35,copy_of_aai4science_2025_kc (1).ipynb,1,1,1,1,1,1,1,7
P36,copy_of_aai4science_2025_kc (2).ipynb,1,1,1,1,1,1,1,7
P37,copy_of_aai4science_2025_kc(3).ipynb,1,1,1,1,1,1,1,7
P38,copy_of_aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P39,dong_aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P40,johns_hopkins_hackathon_11062025.ipynb,1,1,1,1,1,1,1,7
P41,praveshika_bhandari__aai4science_2025_kc.ipynb,1,1,1,1,1,1,1,7
P42,untitled38.ipynb,1,1,1,1,1,1,1,7
